post_date,post_title,Award
01-01-2016,AIANY COTE,Merit Award
01-01-2016,American Architecture Prize,Architectural Design / Recreational Architecture - Honorable Mention
01-01-2016,Society of American Registered Architects (National),Design Award of Honor
01-01-2016,Society of American Registered Architects (National),Design Award of Excellence
01-01-2016,Architect 50,#44 Ranking in Sustainability
01-01-2016,Building Design and Construction,#41 Multi-Family Residential
01-01-2016,Building Design and Construction,#131 Green Building Design
01-01-2016,Building Design and Construction,#94 Top Architecture Firms
01-01-2016,Center for Active Design,Active Design Excellence Awards
01-01-2015,Foundation for Landscape Studies,Place Maker Award
01-01-2015,Brick in Architecture Awards -Brick Industry Assoc.,Silver Award
01-01-2015,AIA New York State,Citation for Design
01-01-2015,Traditional Building Magazine,"Palladio Award for New Architecture, under 30,000 sf"
01-01-2015,"Beverly Willis Foundation "Built x Women NYC"""everly Willis Foun",
01-01-2014,Engineering News-Record,Best Projects Merit Award
01-01-2014,Center for Active Design,Active Design Excellence Awards
01-01-2012,Faith & Form Magazine/IFRAA Art & Architecture,Religious Architecture Merit
01-01-2011,New York Society of Architects,Distinguished Service Award
01-01-2011,Brick in Home Building Awards -Brick Industry Assoc.,"Silver Award for "House of Worship"""ilver Award for """"
01-01-2011,US Institute of Theater Technology (USITT),Honor Award for Architecture
01-01-2011,AIA Westchester+Hudson Valley,High Honor Award for Design Excellence
01-01-2010,"International Interior Design Assoc (IIDA), Mid-Atlantic Chapter (submitted by SmithGroup)","Gold Award, Educational/Institutional"
01-01-2010,Northern Virginia AIA (submitted by SmithGroup),"Merit Award, Institutional Architecture"
01-01-2010,Virginia Society AIA (submitted by SmithGroup),Award for Excellence in Architecture
01-01-2010,Greater New York Construction User Council,Outstanding Project Award
01-01-2009,PM Engineer,Excellence in Design
01-01-2009,Western Red Cedar Lumber Assoc.,Architectural Design Honor Award
01-01-2009,AIA Westchester/Mid-Hudson,Design Award for Mult-Family Residential Design
01-01-2009,Coverings - Prism,Prism Award for Stonework
01-01-2008,Washington University in St. Louis,Distinguished Alumnus Award
01-01-2008,AIA COTE,Top Green Projects
01-01-2008,AIA NYS,Best in New York State
01-01-2008,AIA NYS,Award for Institutional Design
01-01-2008,AIA New York,Sustainable Design/Cultural Honor Award (Building Types Awards)
01-01-2008,Chicago Athenaeum,American Architecture Award
01-01-2008,AIA National Housing Awards,Award for Multi-family Housing Design
01-01-2008,Multi-Housing News,Design Excellence Award
01-01-2008,Marble Institute of America (MIA),Pinnacle Award for Stonework
01-01-2008,AIA New York,Education Facility Design Merit
01-01-2008,Brick in Home Building Awards -Brick Industry Assoc.,Bronze Award
01-01-2007,Queens Chamber of Commerce,Building Award
01-01-2007,Applied Arts Award,Design & Advertising Award
01-01-2007,Palladio Awards,Palladio Award for Restoration & Renovation
01-01-2005,National AIA ,Honor Award for Interior Architecture
01-01-2005,Faith & Form Magazine/IFRAA ,Honor Award for Liturgical/Interior Design
01-01-2005,Faith & Form Magazine/IFRAA ,Merit Award for Custom Lamp
01-01-2005,AIA NY Housing Design Awards,Housing Design Citation
01-01-2005,Palladio Awards,Residential Design: Multi-unit category
01-01-2004,AIA New York,"Award for Excellence in Design, Interior Design category"
01-01-2004,AIA NYS,Citation for Design
01-01-2004,Architectural Record/Business Week Design Competition,Finalist
01-01-2004,NYC Dept. of Environmental Protection / US EPA,Green Design Competition winner
01-01-2003,AIA New York,"Award for Excellence in Design, Interior Design category"
01-01-2003,Preservation League of NY State,Excellence in Preservation Award
01-01-2002,NYC Art Commission,Award for Design
01-01-1999,AIA ,Citation for Exemplary Learning Environment
01-01-1999,I.D. Annual Design Review,"Award for Design Distinction, environment category"
1/1/993,I.D. Annual Design Review,"Award for Design Distinction, environment category"
