post_date,project,website,post_title,author,number,website_link,post_status,post_author
2016-12-14 00:00:00,1163,NYMag,Reasons to Love New York,,,http://nymag.com/daily/intelligencer/2016/12/reasons-to-love-new-york-2016.html,publish,8
2016-11-30 00:00:00,2532,New York Lifestyles Magazine,ONE GREAT JONES ALLEY,,,http://newyorklifestylesmagazine.com/articles/2016/12/54.html,publish,8
2016-10-24 00:00:00,1574,Architectural Record,Winners of the 2016 AIANY COTE Awards Announced,Alex Klimoski,,http://www.architecturalrecord.com/articles/11952-winners-of-the-2016-aiany-cote-awards-announced,publish,8
2016-10-18 00:00:00,BKSK,The Architect's Newspaper,DDC picks 26 firms to design New York’s new public buildings,Audrey Wachs,,http://archpaper.com/2016/10/ddc-picks-26-firms-to-design-the-citys-new-public-buildings/,publish,8
2016-10-06 00:00:00,2466,PRISM: Sustainability in the Built Environment,Award-winning projects from around the world showcase creative design thinking and impressive impacts on health and engagement,,,https://prismpub.com/award-winning-projects-from-around-the-world-showcase-creative-design-thinking-and-impressive-impacts-on-health-and-engagement/,publish,8
2016-09-07 00:00:00,BKSK,Architect,"The Top 50 Firms in Business, Sustainability, and Design",Eric Wills,,http://www.architectmagazine.com/practice/architect-50/the-top-50-firms-in-business-sustainability-and-design_o,publish,8
2016-08-25 00:00:00,3324 ,In the News (formerly eOculus),Grafting an Expansion on a Landmark,Linda G. Miller,,http://main.aiany.org/eOCULUS/newsletter/#/in-the-news-93/,publish,8
2016-08-04 00:00:00,BKSK,Building Design + Construction,Top 110 Multifamily Architecture Firms,BD+C Staff,,http://www.bdcnetwork.com/top-110-multifamily-architecture-firms,publish,8
2016-08-02 00:00:00,BKSK,Building Design + Construction,Top 130 Green Building Architecture Firms,BD+C Staff,,http://www.bdcnetwork.com/top-130-green-building-architecture-firms,publish,8
2016-07-29 00:00:00,Olana Exhibit,NY Times,Dreaming Up a Summer Idyll for Frederic Edwin Church,Ted Loos,,http://www.nytimes.com/2016/07/31/arts/design/dreaming-up-a-summer-idyll-for-frederic-edwin-church.html?_r=1,publish,8
2016-07-25 00:00:00,BKSK,Building Design + Construction,Top 100 Architecture Firms,BD+C Staff,,http://www.bdcnetwork.com/top-100-architecture-firms,publish,8
2016-05-01 00:00:00,2370,School Planning & Management,Sustainable Athletic and Wellness Center,Julie Nelson,,https://webspm.com/Articles/2016/05/01/Sustainable-Athletic-Wellness-Center.aspx,publish,8
2016-04-11 00:00:00,325 Henry Street,NY Times,Brooklyn Condo Inspired by a Gas Station,Kaya Laterman,,https://www.nytimes.com/2016/04/10/realestate/brooklyn-condo-cobble-hill.html?_r=0,publish,8
2016-03-11 00:00:00,175 West 10th Street,NY Times,Condos on a West Village Triangle,Jane Margolies,,https://www.nytimes.com/2016/03/13/realestate/condos-on-a-west-village-triangle.html,publish,8
2016-03-01 00:00:00,2466,gb&d Magazine,Civic Sustainability,Vincent Caruso,,http://gbdmagazine.com/2016/civic-sustainability/,publish,8
